INSTNM,SAT_AVG_2012,ADM_RATE_2012,UGDS_2012,CONTROL_2012,COSTT4_A_2012,C150_4_2012,PREDDEG_2012,CITY,STABBR
East Arkansas Community College,NULL,NULL,1058,1,9211,NULL,1,Forrest City,AR
Eastern College of Health Vocations-Little Rock,NULL,NULL,375,3,NULL,NULL,1,Little Rock,AR
Imagine-Paul Mitchell Partner School,NULL,NULL,413,3,NULL,NULL,1,North Little Rock,AR
National Park Community College,NULL,NULL,2753,1,13833,NULL,2,Hot Springs,AR
University of Arkansas Community College-Batesville,NULL,NULL,1223,1,10372,NULL,1,Batesville,AR
Harding University,1135,0.7465,4313,2,24610,0.6071,3,Searcy,AR
Henderson State University,990,0.6148,3354,1,17525,0.3573,3,Arkadelphia,AR
Hendrix College,1272,0.8297,1365,2,47904,0.7172,3,Conway,AR
Hot Springs Beauty College,NULL,NULL,51,3,NULL,NULL,1,Hot Springs,AR
Jefferson Regional Medical Center School of Nursing,NULL,NULL,73,2,NULL,NULL,1,Pine Bluff,AR
John Brown University,1142,0.6462,1767,2,31980,0.681,3,Siloam Springs,AR
Lees School of Cosmetology,NULL,NULL,29,3,NULL,NULL,1,North Little Rock,AR
Career Academy of Hair Design,NULL,NULL,376,3,NULL,NULL,1,Springdale,AR
Marsha Kay Beauty College,NULL,NULL,19,3,NULL,NULL,1,Mountain Home,AR
Academy of Salon and Spa,NULL,NULL,94,3,NULL,NULL,1,Fort Smith,AR
Mid-South Community College,NULL,NULL,1431,1,15361,NULL,1,West Memphis,AR
Arkansas Northeastern College,NULL,NULL,1427,1,12116,NULL,1,Blytheville,AR
Margarets Hair Academy Inc,NULL,NULL,49,3,NULL,NULL,1,Monticello,AR
New Tyler Barber College Inc,NULL,NULL,65,3,NULL,NULL,1,North Little Rock,AR
North Arkansas College,NULL,NULL,2014,1,10771,NULL,1,Harrison,AR
Northwest Technical Institute,NULL,NULL,262,1,8881,NULL,1,Springdale,AR
Ouachita Baptist University,1110,0.691,1503,2,30152,0.5886,3,Arkadelphia,AR
College of the Ouachitas,NULL,NULL,772,1,11930,NULL,1,Malvern,AR
Ozarka College,NULL,NULL,1310,1,12164,NULL,2,Melbourne,AR
University of the Ozarks,1045,0.9096,555,2,33316,0.4756,3,Clarksville,AR
University of Arkansas Community College-Morrilton,NULL,NULL,2053,1,8925,NULL,1,Morrilton,AR
Philander Smith College,NULL,NULL,665,2,23408,0.3067,3,Little Rock,AR
Phillips Community College of the University of Arkansas,NULL,NULL,1037,1,16644,NULL,1,Helena,AR
Southeast Arkansas College,NULL,NULL,1423,1,13343,NULL,1,Pine Bluff,AR
Professional Cosmetology Education Center,NULL,NULL,40,3,NULL,NULL,1,El Dorado,AR
Pulaski Technical College,NULL,NULL,10838,1,16323,NULL,1,North Little Rock,AR
University of Arkansas Community College-Hope,NULL,NULL,1194,1,15281,NULL,1,Hope,AR
Rich Mountain Community College,NULL,NULL,632,1,10835,NULL,1,Mena,AR
Paul Mitchell the School-Arkansas,NULL,NULL,101,3,NULL,NULL,1,Fayetteville,AR
Searcy Beauty College Inc,NULL,NULL,106,3,NULL,NULL,1,Searcy,AR
Shorter College,NULL,NULL,52,2,NULL,NULL,0,N Little Rock,AR
Williams Baptist College,1030,0.6259,509,2,21702,0.4297,3,Walnut Ridge,AR
South Arkansas Community College,NULL,NULL,1402,1,14853,NULL,1,El Dorado,AR
Southern Arkansas University Main Campus,987,0.6458,2600,1,17345,0.3316,3,Magnolia,AR
Southern Arkansas University Tech,NULL,NULL,906,1,14767,NULL,1,Camden,AR
Velvatex College of Beauty Culture,NULL,NULL,23,3,NULL,NULL,1,Little Rock,AR
University of Arkansas-Fort Smith,1011,0.5434,6677,1,14148,0.2266,3,Fort Smith,AR
Academy of Art University,NULL,NULL,11517,3,34848,0.3154,3,San Francisco,CA
ITT Technical Institute-Rancho Cordova,NULL,0.5683,577,3,27047,0.3333,2,Rancho Cordova,CA
Academy of Chinese Culture and Health Sciences,NULL,NULL,NULL,2,NULL,NULL,4,Oakland,CA
The Academy of Radio and TV Broadcasting,NULL,NULL,64,3,NULL,NULL,1,Huntington Beach,CA
Alameda Beauty College,NULL,NULL,115,3,NULL,NULL,1,Alameda,CA
College of Alameda,NULL,NULL,4962,1,11189,NULL,2,Alameda,CA
Allan Hancock College,NULL,NULL,9644,1,10821,NULL,2,Santa Maria,CA
American Academy of Dramatic Arts-Los Angeles,NULL,0.2654,222,2,47206,NULL,1,Los Angeles,CA
American Baptist Seminary of the West,NULL,NULL,NULL,2,NULL,NULL,4,Berkeley,CA
American Film Institute Conservatory,NULL,NULL,NULL,2,NULL,NULL,4,Los Angeles,CA
American Beauty College,NULL,NULL,44,3,NULL,NULL,1,West Covina,CA
American Career College-Los Angeles,NULL,NULL,1743,3,NULL,NULL,1,Los Angeles,CA
American Conservatory Theater,NULL,NULL,0,2,NULL,NULL,1,San Francisco,CA
American River College,NULL,NULL,28605,1,11417,NULL,2,Sacramento,CA
Everest College-Hayward,NULL,NULL,240,3,NULL,NULL,1,Hayward,CA
Antelope Valley College,NULL,NULL,11819,1,11707,NULL,2,Lancaster,CA
Art Center College of Design,NULL,0.8111,1647,2,54597,0.697,3,Pasadena,CA
Associated Technical College-Los Angeles,NULL,NULL,290,3,NULL,NULL,1,Los Angeles,CA
Associated Technical College-San Diego,NULL,NULL,127,3,NULL,NULL,1,San Diego,CA
Azusa Pacific University,1099,0.7597,6224,2,42779,0.6324,3,Azusa,CA
