INSTNM,SAT_AVG_2012,ADM_RATE_2012,UGDS_2012,CONTROL_2012,COSTT4_A_2012,C150_4_2012,PREDDEG_2012,CITY,STABBR
National American University-Zona Rosa,NULL,NULL,512,3,23042,0.225,2,Kansas City,MO
West Hills College Lemoore,NULL,NULL,3532,1,9377,NULL,2,Lemoore,CA
Stautzenberger College-Brecksville,NULL,NULL,294,3,19706,NULL,2,Brecksville,OH
Stone Academy-East Hartford,NULL,NULL,316,3,NULL,NULL,1,East Hartford,CT
Westwood College-Annandale,NULL,0.5692,431,3,29994,0.2692,3,Annandale,VA
Unitech Training Academy-Houma,NULL,NULL,50,3,NULL,NULL,1,Houma,LA
Kaplan College-Milwaukee,NULL,NULL,164,3,NULL,NULL,1,Milwaukee,WI
Miller-Motte Technical College-Madison,NULL,NULL,417,3,23487,NULL,1,Madison,TN
Rasmussen College-Illinois,NULL,0.8282,1683,3,23236,0,2,Rockford,IL
International Institute for Restorative Practices,NULL,NULL,NULL,2,NULL,NULL,4,Bethlehem,PA
Educational Technical College-Recinto de Coamo,NULL,NULL,220,3,NULL,NULL,1,Coamo,PR
Educational Technical College-Recinto de san Sebastian,NULL,NULL,304,3,NULL,NULL,1,San Sebastian,PR
Argosy University-Denver,NULL,NULL,105,3,24224,0.625,3,Denver,CO
College America-Colorado Springs,NULL,NULL,436,3,27993,0.6145,2,Colorado Springs,CO
College America-Fort Collins,NULL,NULL,234,3,26634,0.322,2,Fort Collins,CO
Automotive Training Center,NULL,NULL,353,3,NULL,NULL,1,Warminster,PA
Sanford-Brown College-West Allis,NULL,NULL,354,3,NULL,NULL,1,West Allis,WI
Empire Beauty School-Milwaukee,NULL,NULL,131,3,NULL,NULL,1,Milwaukee,WI
The Robert B Miller College,NULL,NULL,365,2,NULL,NULL,3,Battle Creek,MI
University of Phoenix-Fairfield County Campus,NULL,NULL,28,3,21170,0.1458,3,Norwalk,CT
University of Phoenix-Harrisburg Campus,NULL,NULL,129,3,23248,0.2222,3,Harrisburg,PA
University of South Florida-St. Petersburg,1053,0.5134,4006,1,17708,0.3284,3,St. Petersburg,FL
Triangle Tech Inc-Bethlehem,NULL,NULL,130,3,25751,NULL,2,Bethlehem,PA
DeVry University-Utah,NULL,0.575,133,3,32399,NULL,3,Sandy,UT
Milan Institute-Clovis,NULL,NULL,492,3,NULL,NULL,1,Clovis,CA
Branford Hall Career Institute-Albany Campus,NULL,NULL,328,3,NULL,NULL,1,Albany,NY
Harris School of Business-Linwood Campus,NULL,NULL,370,3,NULL,NULL,1,Linwood,NJ
The Art Institute of Tennessee-Nashville,NULL,0.4871,992,3,31793,0.0769,2,Nashville,TN
Strayer University-Florida,NULL,NULL,2254,3,31374,NULL,3,Tampa,FL
Pima Medical Institute-Renton,NULL,NULL,848,3,NULL,NULL,1,Renton,WA
College of Business and Technology-Flagler,NULL,NULL,334,3,20549,NULL,1,Miami,FL
College of Business and Technology-Hialeah,NULL,NULL,78,3,22962,NULL,1,Hialeah,FL
Miller-Motte College-Cary,NULL,NULL,329,3,23711,NULL,1,Cary,NC
Miami-Jacobs Career College-Springboro,NULL,NULL,245,3,24537,NULL,2,Springboro,OH
Dewey University-Juana Díaz Branch,NULL,NULL,256,2,11766,NULL,1,Juana Diaz,PR
Dewey University-Fajardo Branch,NULL,NULL,218,2,11524,NULL,1,Fajardo,PR
Dewey University-Arroyo Branch,NULL,NULL,190,2,11497,NULL,1,Arroyo,PR
Regency Beauty Institute-Independence,NULL,NULL,74,3,NULL,NULL,1,Kansas City,MO
Regency Beauty Institute-St Peters,NULL,NULL,108,3,NULL,NULL,1,St. Peters,MO
Regency Beauty Institute-Peoria,NULL,NULL,88,3,NULL,NULL,1,Peoria,IL
Regency Beauty Institute-Greenwood,NULL,NULL,55,3,NULL,NULL,1,Indianapolis,IN
Regency Beauty Institute-Mehlville,NULL,NULL,59,3,NULL,NULL,1,Mehlville,MO
Regency Beauty Institute-Duluth,NULL,NULL,60,3,NULL,NULL,1,Duluth,MN
Regency Beauty Institute-Fairview Heights,NULL,NULL,99,3,NULL,NULL,1,Fairview Heights,IL
Regency Beauty Institute-Champaign,NULL,NULL,97,3,NULL,NULL,1,Champaign,IL
Regency Beauty Institute-Olathe,NULL,NULL,65,3,NULL,NULL,1,Olathe,KS
The Academy of Health Care Professions-San Antonio,NULL,1,226,3,NULL,NULL,1,San Antonio,TX
Everest Institute-South Plainfield,NULL,NULL,724,3,NULL,NULL,1,South Plainfield,NJ
Kaplan Career Institute-Detroit,NULL,NULL,255,3,NULL,NULL,1,Detroit,MI
Daymar College-Madisonville,NULL,NULL,55,3,26881,NULL,2,Madisonville,KY
Brittany Beauty School,NULL,NULL,227,3,NULL,NULL,1,Bronx,NY
Lincoln Technical Institute-Whitestone,NULL,NULL,888,3,NULL,NULL,1,Whitestone,NY
American Public University System,NULL,NULL,44133,3,13952,0.1875,3,Charles Town,WV
Huntsville Bible College,NULL,NULL,102,2,12805,NULL,1,Huntsville,AL
Beaumont Adult School,NULL,NULL,143,1,NULL,NULL,1,Beaumont,CA
Make-up Designory,NULL,NULL,390,3,NULL,NULL,1,Burbank,CA
Video Symphony EnterTraining Inc,NULL,NULL,90,3,NULL,NULL,1,Burbank,CA
Gnomon School of Visual Effects,NULL,1,154,3,41403,NULL,1,Hollywood,CA
Coachella Valley Beauty College,NULL,NULL,77,3,NULL,NULL,1,La Quinta,CA
Career College of California,NULL,NULL,138,3,NULL,NULL,1,Santa Ana,CA
Valley College of Medical Careers,NULL,NULL,63,3,NULL,NULL,1,West Hills,CA
Academy of Natural Therapy Inc,NULL,NULL,70,3,NULL,NULL,1,Greeley,CO
Academy Di Capelli-School of Cosmetology,NULL,NULL,29,3,NULL,NULL,1,Wallingford,CT
Delaware Learning Institute of Cosmetology,NULL,NULL,99,3,NULL,NULL,1,Dagsboro,DE
Dragon Rises College of Oriental Medicine,NULL,NULL,NULL,3,NULL,NULL,4,Gainesville,FL
Palm Beach Academy of Health & Beauty,NULL,NULL,111,3,NULL,NULL,1,Lake Park,FL
SABER College,NULL,0.9211,549,2,NULL,NULL,1,Miami,FL
Taylor College,NULL,NULL,198,3,23133,NULL,1,Belleview,FL
Pensacola School of Massage Therapy & Health Careers,NULL,NULL,155,3,NULL,NULL,1,Pensacola,FL
Hawaii College of Oriental Medicine,NULL,NULL,NULL,2,NULL,NULL,4,Hilo,HI
Ideal Beauty Academy,NULL,NULL,34,3,NULL,NULL,1,Jeffersonville,IN
Success Schools LLC,NULL,NULL,169,3,NULL,NULL,1,Merrillville,IN
Louisiana Culinary Institute,NULL,0.2857,204,3,NULL,NULL,2,Baton Rouge,LA
Bais Medrash Toras Chesed,NULL,0.4474,118,2,14700,0.0769,3,Lakewood,NJ
Center for Natural Wellness School of Massage Therapy,NULL,0.9167,58,3,NULL,NULL,1,Albany,NY
Ace Computer Training Center,NULL,NULL,105,3,NULL,NULL,1,Forest Hills,NY
New Age Training,NULL,NULL,120,3,7275,NULL,1,New York,NY
Dayton School of Medical Massage,NULL,NULL,483,3,24971,NULL,1,Dayton,OH
Northcoast Medical Training Academy,NULL,NULL,188,3,NULL,NULL,1,Kent,OH
American Institute of Medical Technology,NULL,NULL,48,3,NULL,NULL,1,Tulsa,OK
Carib Technological Institute,NULL,NULL,86,3,NULL,NULL,1,Bayamon,PR
ASPIRA Inc of Puerto Rico,NULL,NULL,0,2,NULL,NULL,1,Carolina,PR
Visible Music College,1018,0.5385,121,2,29400,0.5,3,Memphis,TN
CCI Training Center,NULL,NULL,151,3,NULL,NULL,1,Arlington,TX
Champion Beauty College,NULL,NULL,63,3,NULL,NULL,1,Houston,TX
Professional Careers Institute,NULL,NULL,95,3,NULL,NULL,1,Houston,TX
Southeast Texas Career Institute,NULL,NULL,182,3,NULL,NULL,1,Silsbee,TX
Southwest Applied Technology Center,NULL,NULL,200,1,NULL,NULL,1,Cedar City,UT
ImageWorks Academy of Hair Design,NULL,NULL,63,3,NULL,NULL,1,Spanish Fork,UT
Academy of Cosmetology,NULL,NULL,59,3,NULL,NULL,1,Janesville,WI
Milwaukee Career College,NULL,0.7179,61,3,NULL,NULL,1,Milwaukee,WI
University of the West,NULL,NULL,75,2,25676,0.5,3,Rosemead,CA
South University-Tampa,NULL,0.5854,610,3,28622,0,3,Tampa,FL
Milan Institute of Cosmetology-San Antonio Military,NULL,NULL,270,3,NULL,NULL,1,San Antonio,TX
Averett University-Non-Traditional Programs,NULL,0.47,882,2,24923,NULL,3,Danville,VA
Paul Mitchell the School-Tampa,NULL,NULL,186,3,NULL,NULL,1,Tampa,FL
Paul Mitchell the School-San Diego,NULL,NULL,297,3,NULL,NULL,1,San Diego,CA
Paul Mitchell the School-Michigan,NULL,NULL,219,3,NULL,NULL,1,Sterling Heights,MI
Paul Mitchell the School-Sherman Oaks,NULL,NULL,270,3,NULL,NULL,1,Sherman Oaks,CA
Paul Mitchell the School-Mclean,NULL,NULL,214,3,NULL,NULL,1,McLean,VA
Miami-Jacobs Career College-Troy,NULL,NULL,378,3,24245,NULL,2,Troy,OH
ATI College-Santa Ana,NULL,NULL,69,3,NULL,NULL,1,Santa Ana,CA
Blue Cliff College-Houma,NULL,NULL,143,3,24110,NULL,1,Houma,LA
The Art Institute of Salt Lake City,NULL,0.5434,604,3,29511,NULL,2,Draper,UT
Fortis College-Columbus,NULL,NULL,748,3,21238,NULL,1,Westerville,OH
Fortis College-Cincinnati,NULL,NULL,565,3,29521,NULL,1,Cincinnati,OH
Fortis Institute,NULL,NULL,699,3,NULL,NULL,1,Baltimore,MD
The Art Institute of Charleston,NULL,0.4467,627,3,32420,NULL,3,Charleston,SC
The Art Institute of California-Argosy University Sacramento,NULL,0.5429,1285,3,32187,NULL,3,Sacramento,CA
Blue Cliff College-Fayetteville,NULL,NULL,264,3,26836,NULL,1,Fayetteville,AR
Blue Cliff College-Alexandria,NULL,NULL,484,3,24841,NULL,1,Alexandria,LA
StenoTech Career Institute-Piscataway,NULL,0.6,109,3,NULL,NULL,1,Piscataway,NJ
Anthem College-Brookfield,NULL,NULL,259,3,NULL,NULL,2,Brookfield,WI
Ultimate Medical Academy-Tampa,NULL,NULL,12386,3,NULL,NULL,1,Tampa,FL
Beauty Schools of America-North Miami Beach,NULL,NULL,411,3,NULL,NULL,1,North Miami Beach,FL
Virginia College-Biloxi,NULL,NULL,406,3,22999,NULL,2,Biloxi,MS
ITT Technical Institute-St. Petersburg,NULL,0.5638,205,3,27448,NULL,2,St. Petersburg,FL
ITT Technical Institute-Baton Rouge,NULL,0.8302,593,3,25718,NULL,2,Baton Rouge,LA
ITT Technical Institute-Columbia,NULL,0.8256,403,3,25376,NULL,2,Columbia,SC
ITT Technical Institute-Wichita,NULL,0.7818,406,3,26454,NULL,2,Wichita,KS
ITT Technical Institute-Atlanta,NULL,0.8687,541,3,27375,NULL,2,Atlanta,GA
ITT Technical Institute-Mobile,NULL,0.772,567,3,26471,NULL,2,Mobile,AL
ITT Technical Institute-Chattanooga,NULL,0.8525,197,3,27182,NULL,2,Chattanooga,TN
ITT Technical Institute-South Bend,NULL,0.694,422,3,27789,NULL,2,South Bend,IN
Virginia College-School of Business and Health,NULL,NULL,260,3,20224,NULL,1,Chattanooga,TN
Strayer University-Delaware,NULL,NULL,241,3,31374,NULL,3,Newark,DE
Brite Divinity School,NULL,NULL,NULL,2,NULL,NULL,4,Fort Worth,TX
Strayer University-Alabama,NULL,NULL,401,3,31194,NULL,3,Birmingham,AL
Brown Aveda Institute-Rocky River,NULL,NULL,151,3,NULL,NULL,1,Rocky River,OH
Clary Sage College,NULL,NULL,339,3,NULL,NULL,1,Tulsa,OK
Broadview University-Layton,NULL,NULL,221,3,30350,NULL,2,Layton,UT
International Academy of Design and Technology-Sacramento,NULL,NULL,302,3,22685,NULL,3,Sacramento,CA
University of Phoenix-Birmingham Campus,NULL,NULL,447,3,24120,NULL,3,Birmingham,AL
International Academy of Design and Technology-San Antonio,NULL,NULL,431,3,22466,NULL,2,San Antonio,TX
University of Phoenix-Augusta Campus,NULL,NULL,929,3,23123,0.1917,3,Augusta,GA
University of Phoenix-Washington DC Campus,NULL,NULL,203,3,23248,0,3,Washington,DC
University of Phoenix-Chattanooga Campus,NULL,NULL,570,3,24083,0.1429,3,Chattanooga,TN
DeVry University-Michigan,NULL,0.5595,217,3,30695,NULL,3,Southfield,MI
DeVry University-Tennessee,NULL,0.76,303,3,29448,NULL,3,Memphis,TN
Argosy University-Inland Empire,NULL,NULL,369,3,26065,NULL,3,Ontario,CA
Argosy University-Nashville,NULL,NULL,170,3,23800,NULL,3,Nashville,TN
Argosy University-San Diego,NULL,NULL,215,3,26876,NULL,0,San Diego,CA
Rasmussen College-Wisconsin,NULL,0.8479,1384,3,23907,NULL,2,Green Bay,WI
Empire Beauty School-Lisle,NULL,NULL,117,3,NULL,NULL,1,Lisle,IL
Empire Beauty School-Richmond,NULL,NULL,121,3,NULL,NULL,1,Richmond,VA
Empire Beauty School-North Hills,NULL,NULL,134,3,NULL,NULL,1,Pittsburgh,PA
Empire Beauty School-Concord,NULL,NULL,129,3,NULL,NULL,1,Concord,NC
Empire Beauty School-Arlington Heights,NULL,NULL,169,3,NULL,NULL,1,Arlington Heights,IL
Lexington Healing Arts Academy,NULL,NULL,155,3,NULL,NULL,1,Lexington,KY
Empire Beauty School-Hooksett,NULL,NULL,123,3,NULL,NULL,1,Hooksett,NH
The Institute of Beauty and Wellness,NULL,NULL,195,3,NULL,NULL,1,Milwaukee,WI
InterCoast Colleges-Carson,NULL,NULL,171,3,NULL,NULL,1,Carson,CA
InterCoast Career Institute-South Portland,NULL,NULL,525,3,NULL,NULL,1,South Portland,ME
Carrington College California-Stockton,NULL,1,362,3,NULL,NULL,1,Stockton,CA
Carrington College California-Citrus Heights,NULL,1,412,3,NULL,NULL,1,Citrus Heights,CA
Euphoria Institute of Beauty Arts & Sciences-Summerlin,NULL,NULL,200,3,NULL,NULL,1,Las Vegas,NV
Euphoria Institute of Beauty Arts & Sciences-Green Valley,NULL,NULL,155,3,NULL,NULL,1,Henderson,NV
Empire Beauty School-Portsmouth,NULL,NULL,122,3,NULL,NULL,1,Portsmouth,NH
Long Island University-Riverhead Campus,NULL,NULL,51,2,NULL,NULL,3,Riverhead,NY
Newbridge College-Long Beach,NULL,NULL,74,3,NULL,NULL,1,Long Beach,CA
Regency Beauty Institute-Lakewood,NULL,NULL,98,3,NULL,NULL,1,Lakewood,CO
Regency Beauty Institute-Westminster,NULL,NULL,147,3,NULL,NULL,1,Westminster,CO
Regency Beauty Institute-Avon,NULL,NULL,55,3,NULL,NULL,1,Indianapolis,IN
Regency Beauty Institute-Joliet,NULL,NULL,63,3,NULL,NULL,1,Joliet,IL
Regency Beauty Institute-Rockford,NULL,NULL,117,3,NULL,NULL,1,Rockford,IL
Regency Beauty Institute-Greenfield,NULL,NULL,115,3,NULL,NULL,1,Greenfield,WI
Regency Beauty Institute-Metro Center,NULL,NULL,49,3,NULL,NULL,1,Phoenix,AZ
Regency Beauty Institute-East Tucson,NULL,NULL,90,3,NULL,NULL,1,Tucson,AZ
Regency Beauty Institute-Tri-County,NULL,NULL,51,3,NULL,NULL,1,Springdale,OH
Regency Beauty Institute-Eastgate,NULL,NULL,87,3,NULL,NULL,1,Cincinnati,OH
Regency Beauty Institute-Topeka,NULL,NULL,56,3,NULL,NULL,1,Topeka,KS
Columbia Southern University,NULL,NULL,14602,3,13333,0.472,3,Orange Beach,AL
Phoenix School of Law,NULL,NULL,NULL,3,NULL,NULL,4,Phoenix,AZ
Arizona Culinary Institute,NULL,NULL,131,3,NULL,NULL,1,Scottsdale,AZ
InfoTech Career College,NULL,NULL,187,3,NULL,NULL,1,Paramount,CA
Trident University International,NULL,NULL,3485,3,17808,0.3333,3,Cypress,CA
Coastline Beauty College,NULL,NULL,164,3,NULL,NULL,1,Fountain Valley,CA
Career College Consultants,NULL,NULL,119,3,NULL,NULL,1,Los Angeles,CA
Career College of San Diego,NULL,NULL,171,3,NULL,NULL,1,San Diego,CA
Proteus,NULL,NULL,121,2,NULL,NULL,1,Visalia,CA
Montessori Casa International,NULL,NULL,21,2,NULL,NULL,1,Denver,CO
Branford Academy of Hair & Cosmetology,NULL,NULL,84,3,NULL,NULL,1,Branford,CT
Academy of Massage and Bodywork,NULL,NULL,83,3,NULL,NULL,1,Bear,DE
Digital Media Arts College,NULL,NULL,274,3,26938,0.4615,3,Boca Raton,FL
Academy for Five Element Acupuncture,NULL,NULL,NULL,2,NULL,NULL,4,Gainesville,FL
Academy of Career Training,NULL,NULL,164,3,NULL,NULL,1,Kissimmee,FL
Management Resources Institute,NULL,NULL,736,3,NULL,NULL,1,Miami,FL
Hi-Tech School of Cosmetology,NULL,NULL,149,3,NULL,NULL,1,Miami,FL
Wolford College,NULL,NULL,NULL,3,NULL,NULL,4,Naples,FL
Aveda Institute-Saint Petersburg,NULL,NULL,821,3,NULL,NULL,1,Saint Petersburg,FL
Aveda Institute-Tallahassee,NULL,NULL,519,3,NULL,NULL,1,Tallahassee,FL
Shear Excellence Hair Academy,NULL,NULL,89,3,NULL,NULL,1,Tampa,FL
Carlson College of Massage Therapy,NULL,NULL,20,3,NULL,NULL,1,Anamosa,IA
Bio-Chi Institute of Massage Therapy,NULL,NULL,20,3,16057,NULL,1,Sioux City,IA
SOLEX Medical Academy,NULL,NULL,27,3,NULL,NULL,1,Wheeling,IL
TechSkills-Indianapolis,NULL,NULL,184,3,NULL,NULL,1,Indianapolis,IN
Z Hair Academy,NULL,NULL,26,3,NULL,NULL,1,Lawrence,KS
DiGrigoli School of Cosmetology,NULL,NULL,23,3,NULL,NULL,1,West Springfield,MA
Millennium Training Institute,NULL,NULL,179,3,NULL,NULL,1,Woburn,MA
Gallery College of Beauty,NULL,NULL,253,3,NULL,NULL,1,Clinton Township,MI
Lakewood School of Therapeutic Massage,NULL,NULL,34,3,NULL,NULL,1,Port Huron,MI
The Salon Spa Academy,NULL,NULL,49,3,NULL,NULL,1,Battle Creek,MI
Trend Setters School of Cosmetology,NULL,NULL,24,3,NULL,NULL,1,Cape Girardeau,MO
Academy of Hair Design,NULL,NULL,92,3,NULL,NULL,1,Springfield,MO
Corinth Academy of Cosmetology,NULL,NULL,115,3,NULL,NULL,1,Corinth,MS
Southeastern Institute-Charlotte,NULL,1,330,3,NULL,NULL,1,Charlotte,NC
Gentle Healing School of Massage,NULL,NULL,28,3,NULL,NULL,1,Cranbury,NJ
Yeshivas Be'er Yitzchok,NULL,NULL,59,2,NULL,NULL,3,Elizabeth,NJ
Yeshiva Toras Chaim,NULL,1,145,2,19143,0.0222,3,Lakewood,NJ
Talmudical Seminary of Bobov,NULL,1,248,2,12908,0.2857,3,Brooklyn,NY
New York Methodist Hospital Center for Allied Health Education,NULL,0.748,354,2,39791,NULL,1,Brooklyn,NY
Institute of Allied Medical Professions-New York,NULL,NULL,157,2,NULL,NULL,1,New York,NY
Micropower Career Institute,NULL,NULL,343,3,NULL,NULL,1,New York,NY
Monroe 2-Orleans BOCES Center for Workforce Development,NULL,NULL,83,1,NULL,NULL,1,Rochester,NY
Aveda Fredric's Institute,NULL,NULL,158,3,NULL,NULL,1,West Chester,OH
MyComputerCareer.Com-TechSkills,NULL,NULL,188,3,NULL,NULL,1,Columbus,OH
CDE Careeer Institute,NULL,NULL,43,3,NULL,NULL,1,Tannersville,PA
Instituto Educativo Premier,NULL,NULL,64,3,NULL,NULL,1,Ponce,PR
Charleston School of Law,NULL,NULL,NULL,3,NULL,NULL,4,Charleston,SC
Elite College of Cosmetology,NULL,NULL,80,3,NULL,NULL,1,Lexington,TN
Memphis Institute of Barbering,NULL,NULL,117,3,NULL,NULL,1,Memphis,TN
Manuel and Theresa's School of Hair Design,NULL,NULL,38,3,NULL,NULL,1,Bryan,TX
Southwest University at El Paso,NULL,NULL,1155,3,20670,NULL,1,El Paso,TX
Paul Mitchell The school-Austin,NULL,NULL,174,3,NULL,NULL,1,Pflugerville,TX
Aveda Institute-Provo,NULL,NULL,94,3,NULL,NULL,1,Provo,UT
Dixie Applied Technology College,NULL,NULL,140,1,NULL,NULL,1,Saint George,UT
Centura College-Alexandria,NULL,NULL,10,3,NULL,NULL,1,Alexandria,VA
Southeast Culinary & Hospitality College,NULL,NULL,94,3,22450,NULL,2,Bristol,VA
Dominion School of Hair Design,NULL,NULL,37,3,NULL,NULL,1,Gloucester Point,VA
Victoria's Academy of Cosmetology,NULL,NULL,98,3,NULL,NULL,1,Kennewick,WA
Inland Massage Institute,NULL,NULL,51,3,28336,NULL,1,Spokane,WA
Sunnyside Beauty Academy,NULL,NULL,10,3,NULL,NULL,1,Sunnyside,WA
Wisconsin Academy,NULL,NULL,21,3,NULL,NULL,1,Peshtigo,WI
The Art Institute of Pittsburgh-Online Division,NULL,0.7559,10641,3,34828,0.1136,1,Pittsburgh,PA
University of South Florida Sarasota-Manatee,NULL,NULL,1713,1,NULL,NULL,3,Sarasota,FL
Brown Mackie College-Indianapolis,NULL,NULL,1298,3,24787,NULL,2,Indianapolis,IN
College America-Cheyenne,NULL,NULL,75,3,27598,0.466,2,Cheyenne,WY
Paul Mitchell the School-San Antonio,NULL,NULL,282,3,NULL,NULL,1,San Antonio,TX
Centro de Estudios Multidisciplinarios-Bayamon,NULL,NULL,712,2,11997,0.5267,2,Bayamón,PR
Bryant & Stratton College-Wauwatosa,NULL,NULL,768,3,20097,0.1739,2,Wauwatosa,WI
Minnesota School of Business-Blaine,NULL,NULL,520,3,27959,NULL,2,Blaine,MN
The Art Institute of Michigan,NULL,0.5877,984,3,30082,NULL,2,Novi,MI
Lacy Cosmetology School-Lexington,NULL,NULL,19,3,NULL,NULL,1,Lexington,SC
Lacy Cosmetology School-Goose Creek,NULL,NULL,38,3,NULL,NULL,1,Goose Creek,SC
The Art Institute of Austin,NULL,0.6694,1555,3,30454,NULL,3,Austin,TX
The Art Institute of California-Argosy University Sunnyvale,NULL,0.4676,654,3,30702,NULL,2,Sunnyvale,CA
Remington College-Houston Southeast Campus,NULL,0.7341,293,2,24217,NULL,1,Webster,TX
Remington College-Shreveport Campus,NULL,0.6713,359,2,27598,NULL,1,Shreveport,LA
National American University-Austin,NULL,NULL,492,3,23978,NULL,3,Austin,TX
National American University-Wichita,NULL,NULL,669,3,24831,NULL,2,Wichita,KS
Lawton Career Institute-Warren Main Campus,NULL,NULL,93,3,NULL,NULL,1,Warren,MI
Fortis College-Landover,NULL,NULL,451,3,24321,NULL,1,Landover,MD
Jenny Lea Academy of Cosmetology and Aesthetics,NULL,NULL,140,3,NULL,NULL,1,Johnson City,TN
ITT Technical Institute-Cary,NULL,0.8216,313,3,27259,NULL,2,Cary,NC
ITT Technical Institute–Madison,NULL,0.7844,392,3,28269,NULL,2,Madison,AL
ITT Technical Institute–Clive,NULL,0.8571,210,3,27598,NULL,2,Clive,IA
ITT Technical Institute-Columbus,NULL,0.8793,335,3,26401,NULL,2,Columbus,OH
ITT Technical Institute–Phoenix,NULL,0.7584,331,3,26411,NULL,2,Phoenix,AZ
ITT Technical Institute–Madison,NULL,0.8879,229,3,25959,NULL,2,Madison,WI
ITT Technical Institute–High Point,NULL,0.8148,398,3,27139,NULL,2,High Point,NC
The Hair Academy,NULL,NULL,44,3,NULL,NULL,1,Bismarck,ND
The Art Institutes International–Kansas City,NULL,0.4354,519,3,30526,NULL,2,Lenexa,KS
The Art Institute of Raleigh-Durham,NULL,0.5163,767,3,31700,NULL,2,Durham,NC
Le Cordon Bleu College of Culinary Arts-Sacramento,NULL,NULL,440,3,NULL,NULL,1,Sacramento,CA
Le Cordon Bleu College of Culinary Arts-Seattle,NULL,NULL,477,3,NULL,NULL,1,Tukwila,WA
Le Cordon Bleu College of Culinary Arts-Cambridge,NULL,NULL,621,3,25130,NULL,1,Cambridge,MA
Le Cordon Bleu College of Culinary Arts-Dallas,NULL,NULL,1202,3,20666,NULL,2,Dallas,TX
Ross Medical Education Center-New Baltimore,NULL,NULL,108,3,NULL,NULL,1,New Baltimore,MI
Ross College-Sylvania,NULL,NULL,355,3,NULL,NULL,1,Sylvania,OH
Argosy University-Salt Lake City,NULL,NULL,131,3,23694,NULL,3,Draper,UT
Escuela De Troqueleria Y Herramentaje,NULL,NULL,96,1,5523,NULL,1,Bayamon,PR
Virginia College-Montgomery,NULL,0.7447,607,3,19219,NULL,1,Montgomery,AL
Fortis Institute-Nashville,NULL,NULL,431,3,27870,NULL,1,Nashville,TN
Beckfield College-Tri-County,NULL,NULL,541,3,27682,NULL,2,Springdale,OH
Iverson Institute,NULL,NULL,76,3,NULL,NULL,1,Chamblee,GA
Galen College of Nursing-Cincinnati,NULL,0.3524,516,3,NULL,NULL,2,Cincinnati,OH
Institute of Therapeutic Massage Inc,NULL,NULL,66,3,NULL,NULL,1,Lima,OH
Pinnacle Career Institute–North Kansas City,NULL,NULL,153,3,23881,NULL,1,Kansas City,MO
Strayer University-Kentucky,NULL,NULL,566,3,31374,NULL,3,Lexington,KY
Strayer University-North Carolina,NULL,NULL,2402,3,31374,0.5,3,Morrisville,NC
Strayer University-New Jersey,NULL,NULL,633,3,NULL,NULL,3,Cherry Hill,NJ
Kaplan College-Cincinnati,NULL,NULL,260,3,NULL,NULL,1,Cincinnati,OH
National College-Dayton,NULL,NULL,193,3,24007,NULL,2,Kettering,OH
National College-Youngstown,NULL,NULL,221,3,22999,NULL,2,Youngstown,OH
National College-Cincinnati,NULL,NULL,133,3,24007,NULL,2,Cincinnati,OH
National College-Stow,NULL,NULL,134,3,21437,NULL,2,Stow,OH
Harris School of Business-Hamilton Campus,NULL,NULL,360,3,NULL,NULL,1,Hamilton,NJ
Empire Beauty School-Eden Prairie,NULL,NULL,64,3,NULL,NULL,1,Eden Prairie,MN
Ohio Business College-Columbus,NULL,NULL,141,3,20785,NULL,1,Hilliard,OH
Ohio Center for Broadcasting-Columbus,NULL,NULL,99,3,23162,NULL,1,Columbus,OH
Ohio Technical College DBA PowerSport Institute LC,NULL,NULL,291,3,NULL,NULL,1,North Randall,OH
Toledo Restaurant Training Center,NULL,NULL,40,2,NULL,NULL,1,Toledo,OH
Dade Medical College-Miami Lakes,NULL,NULL,456,3,NULL,NULL,2,Miami Lakes,FL
The King’s College,1144,0.7094,572,2,53095,0.5769,3,New York,NY
DeVry University-Kentucky,NULL,0.6154,86,3,29966,NULL,3,Louisville,KY
Chamberlain College of Nursing-Illinois,NULL,0.3038,9872,3,25349,NULL,3,Addison,IL
Chamberlain College of Nursing-Ohio,NULL,0.5313,672,3,31215,NULL,2,Columbus,OH
Chamberlain College of Nursing-Arizona,NULL,0.5,529,3,26980,NULL,3,Phoenix,AZ
Career Quest Learning Centers Inc-Jackson,NULL,NULL,192,3,NULL,NULL,1,Jackson,MI
Regency Beauty Institute-Fort Collins,NULL,NULL,100,3,NULL,NULL,1,Fort Collins,CO
Regency Beauty Institute-Tolleson,NULL,NULL,56,3,NULL,NULL,1,Phoenix,AZ
Regency Beauty Institute-Pasadena,NULL,NULL,89,3,NULL,NULL,1,Pasadena,TX
Regency Beauty Institute-Dayton,NULL,NULL,93,3,NULL,NULL,1,Dayton,OH
Regency Beauty Institute-Akron,NULL,NULL,129,3,NULL,NULL,1,Akron,OH
Regency Beauty Institute-Detroit Southgate,NULL,NULL,175,3,NULL,NULL,1,Southgate,MI
Regency Beauty Institute-Flint,NULL,NULL,122,3,NULL,NULL,1,Flint,MI
Regency Beauty Institute-Grand Rapids,NULL,NULL,93,3,NULL,NULL,1,Walker,MI
Regency Beauty Institute-Cypresswood,NULL,NULL,106,3,NULL,NULL,1,Spring,TX
Bryan University,NULL,0.767,185,3,40164,NULL,2,Rogers,AR
Regency Beauty Institute-Austin,NULL,NULL,86,3,NULL,NULL,1,Austin,TX
