INSTNM,SAT_AVG,ADM_RATE,UGDS,CONTROL,COSTT4_A,C150_4,PREDDEG,CITY,STABBR
Regency Beauty Institute-North Nashville,NULL,NULL,70,3,NULL,NULL,1,Madison,TN
Regency Beauty Institute-Round Rock,NULL,NULL,119,3,NULL,NULL,1,Round Rock,TX
Regency Beauty Institute-Merrillville,NULL,NULL,146,3,NULL,NULL,1,Merrillville,IN
Regency Beauty Institute-Roanoke,NULL,NULL,58,3,NULL,NULL,1,Roanoke,VA
Regency Beauty Institute-Toledo,NULL,NULL,83,3,NULL,NULL,1,Holland,OH
Regency Beauty Institute-SW Houston,NULL,NULL,89,3,NULL,NULL,1,Houston,TX
Everest College-Atlanta West,NULL,NULL,634,3,NULL,NULL,1,Atlanta,GA
Broadview University-Boise,NULL,NULL,136,3,28372,NULL,2,Meridian,ID
Advanced Institute of Hair Design-Madison,NULL,NULL,98,3,NULL,NULL,1,Madison,WI
Paul Mitchell The School-Columbia,NULL,NULL,179,3,NULL,NULL,1,Columbia,SC
Paul Mitchell The School-Charleston,NULL,NULL,196,3,NULL,NULL,1,North Charleston,SC
Everest College-Melrose Park,NULL,NULL,545,3,NULL,NULL,1,Melrose Park,IL
Kenneth Shuler School of Cosmetology-Greenville,NULL,NULL,175,3,NULL,NULL,1,Greenville,SC
South University-Accelerated Graduate Programs,NULL,NULL,NULL,3,NULL,NULL,4,Atlanta,GA
South University-The Art Institute of Fort Worth,NULL,NULL,346,3,30693,NULL,3,Fort Worth,TX
South University-Novi,NULL,0.3333,354,3,29650,NULL,3,Novi,MI
Northwest College-Eugene,NULL,NULL,224,2,NULL,NULL,1,Eugene,OR
Northwest College-Tualatin,NULL,NULL,152,2,NULL,NULL,1,Tualatin,OR
Harrison College-Morrisville,NULL,1,203,3,24497,NULL,2,Morrisville,NC
Trend Setters' Academy of Beauty Culture-Louisville,NULL,NULL,194,3,NULL,NULL,1,Louisville,KY
National University College-Caguas,NULL,0.8427,920,3,14330,NULL,0,Caguas,PR
Beauty Schools of America,NULL,NULL,380,3,NULL,NULL,1,Miami Beach,FL
CET-Soledad,NULL,NULL,97,2,NULL,NULL,1,Soledad,CA
MarJon School of Beauty ltd-Lockport,NULL,NULL,65,3,NULL,NULL,1,Lockport,NY
Houston Training Schools-Southwest,NULL,NULL,205,3,NULL,NULL,1,Houston,TX
Vanguard College of Cosmetology-Metairie,NULL,NULL,123,3,NULL,NULL,1,Metairie,LA
New England Tractor Trailer Training School of Massachusetts,NULL,NULL,219,3,12199,NULL,1,North Andover,MA
Heritage College-Columbus,NULL,NULL,520,3,NULL,NULL,1,Columbus,OH
Utah College of Massage Therapy-Vegas,NULL,NULL,453,3,NULL,NULL,1,Las Vegas,NV
Utah College of Massage Therapy-Tempe,NULL,NULL,326,3,NULL,NULL,1,Tempe,AZ
Utah College of Massage Therapy-Phoenix,NULL,NULL,459,3,NULL,NULL,1,Phoenix,AZ
Utah College of Massage Therapy-Westminster,NULL,NULL,191,3,NULL,NULL,1,Westminster,CO
Utah College of Massage Therapy-Aurora,NULL,NULL,248,3,NULL,NULL,1,Aurora,CO
Sanford-Brown College-Portland,NULL,NULL,50,3,NULL,NULL,1,Portland,OR
Tint School of Makeup and Cosmetology-Grand Prairie,NULL,NULL,140,3,NULL,NULL,1,Grand Prairie,TX
Dewey University-Yabucoa,NULL,NULL,2,2,11677,NULL,1,Yabucoa,PR
Dewey University-Hatillo,NULL,NULL,270,2,12063,NULL,1,Hatillo,PR
Dewey University-Manati,NULL,NULL,274,3,11551,NULL,1,Manati,PR
Sanford-Brown College-Skokie,NULL,NULL,105,3,NULL,NULL,1,Skokie,IL
Baltimore School of Massage-York,NULL,NULL,45,3,NULL,NULL,1,York,PA
Allen School-Phoenix,NULL,NULL,823,3,NULL,NULL,1,Phoenix,AZ
Oklahoma Technical College,NULL,NULL,182,3,NULL,NULL,1,Tulsa,OK
Midwest Technical Institute-Moline,NULL,NULL,313,3,NULL,NULL,1,Moline,IL
Star Career Academy-Clifton,NULL,NULL,229,3,NULL,NULL,1,Clifton,NJ
Unitech Training Academy-Alexandria,NULL,NULL,78,3,NULL,NULL,1,Alexandria,LA
Unitech Training Academy-Lake Charles,NULL,NULL,92,3,NULL,NULL,1,Lake Charles,LA
Aveda Institute-Los Angeles,NULL,NULL,175,3,NULL,NULL,1,Los Angeles,CA
Career Quest Learning Center-Kalamazoo,NULL,NULL,99,3,NULL,NULL,1,Kalamazoo,MI
Buchanan Beauty College,NULL,NULL,19,3,NULL,NULL,1,Tullahoma,TN
WellSpring School of Allied Health-Lawrence,NULL,NULL,28,3,NULL,NULL,1,Lawrence,KS
The Art Institute of Wisconsin,NULL,NULL,535,3,29785,NULL,3,Milwaukee,WI
Brown Mackie College-Birmingham,NULL,NULL,954,3,24121,NULL,1,Birmingham,AL
Regina's College of Beauty,NULL,NULL,23,3,NULL,NULL,1,Augusta,GA
Manuel and Theresa's School of Hair Design-Victoria,NULL,NULL,23,3,NULL,NULL,1,Victoria,TX
Coast Career Institute,NULL,NULL,92,3,NULL,NULL,1,Colton,CA
Tricoci University of Beauty Culture-Chicago NE,NULL,NULL,84,3,NULL,NULL,1,Chicago,IL
ITT Technical Institute-Bradenton,NULL,0.9,66,3,29596,NULL,2,Bradenton,FL
ITT Technical Institute-Phoenix West,NULL,0.9375,262,3,26994,NULL,2,Phoenix,AZ
ITT Technical Institute-Brooklyn Center,NULL,0.7255,159,3,27753,NULL,2,Brooklyn Center,MN
ITT Technical Institute-Orlando,NULL,0.7952,377,3,28462,NULL,2,Orlando,FL
ITT Technical Institute-Waco,NULL,0.9355,231,3,27563,NULL,2,Waco,TX
ITT Technical Institute-Myrtle Beach,NULL,0.9524,216,3,27563,NULL,2,Myrtle Beach,SC
University of Phoenix-Knoxville Campus,NULL,NULL,88,3,23434,NULL,0,Knoxville,TN
Azusa Pacific Online University,NULL,NULL,650,2,24993,NULL,1,Glendora,CA
Minneapolis Media Institute,NULL,NULL,147,3,29536,NULL,2,Edina,MN
College America-Phoenix,NULL,NULL,451,2,27752,0.4375,2,Phoenix,AZ
CollegeAmerica-Stevens Henager College,NULL,NULL,95,2,28440,NULL,2,Idaho Falls,ID
Avalon School of Cosmetology-Phoenix,NULL,NULL,233,3,NULL,NULL,1,Phoenix,AZ
Avalon School of Cosmetology-Layton,NULL,NULL,172,3,NULL,NULL,1,Layton,UT
Hair Design Institute,NULL,NULL,67,3,NULL,NULL,1,Boynton Beach,FL
Hair Design Institute,NULL,NULL,122,3,NULL,NULL,1,Apopka,FL
University of Phoenix-Baton Rouge Campus,NULL,NULL,470,3,23154,NULL,3,Baton Rouge,LA
University of Phoenix-Lafayette Campus,NULL,NULL,85,3,23434,NULL,3,Lafayette,LA
University of Phoenix-Shreveport-Bossier Campus,NULL,NULL,131,3,23434,NULL,3,Bossier City,LA
All-State Career School-Allied Health Campus,NULL,NULL,350,3,55632,NULL,1,Essington,PA
Aveda Institute-Des Moines,NULL,NULL,213,3,NULL,NULL,1,West Des Moines,IA
Fortis Institute-Lawrenceville,NULL,NULL,270,3,NULL,NULL,1,Lawrenceville,NJ
Relay Graduate School of Education,NULL,NULL,NULL,2,NULL,NULL,0,New York,NY
Brown Mackie College-Oklahoma City,NULL,NULL,355,3,24075,NULL,2,Oklahoma City,OK
Sanford-Brown College-Austin,NULL,NULL,17,3,23289,NULL,1,Austin,TX
Miller-Motte Technical College-Macon,NULL,NULL,350,3,25865,NULL,1,Macon,GA
Miller-Motte Technical College-Gulfport,NULL,NULL,237,3,27031,NULL,1,Gulfport,MS
International Culinary Center-California,NULL,NULL,124,3,NULL,NULL,1,Campbell,CA
South University–Savannah Online,NULL,NULL,9592,3,30660,0.0176,2,Savannah,GA
Fortis College-Montgomery,NULL,NULL,192,3,NULL,NULL,1,Montgomery,AL
San Joaquin Valley College-Temecula,NULL,NULL,393,3,23769,NULL,2,Temecula,CA
Miller-Motte Technical College-Roanoke,NULL,NULL,297,3,25945,NULL,1,Roanoke,VA
Whitworth University-Adult Degree Programs,NULL,NULL,310,2,NULL,NULL,3,Spokane,WA
American Broadcasting School-Online Program,NULL,NULL,81,3,NULL,NULL,1,Oklahoma City,OK
Springfield College-School of Human Services,NULL,NULL,1319,2,NULL,NULL,3,Springfield,MA
Marian Health Careers Center-Van Nuys Campus,NULL,NULL,94,3,NULL,NULL,1,Van Nuys,CA
Brown College-Brooklyn Center,NULL,NULL,144,3,21702,0.4865,2,Brooklyn Center,MN
Milan Institute-Las Vegas,NULL,NULL,402,3,NULL,NULL,1,Las Vegas,NV
Virginia College-Savannah,NULL,NULL,620,3,19702,NULL,1,Savannah,GA
Virginia College-Columbus,NULL,NULL,741,3,6172,NULL,1,Columbus,GA
Donna's Academy of Hair Design,NULL,NULL,42,3,NULL,NULL,1,Smithville,MO
New York School of Esthetics & Day Spa,NULL,NULL,80,3,NULL,NULL,1,Tarrytown,NY
Panache Academy of Beauty,NULL,NULL,45,3,NULL,NULL,1,Baraboo,WI
ASI Career Institute,NULL,NULL,11,3,NULL,NULL,1,Turnersville,NJ
Chicago School for Piano Technology,NULL,0.6154,9,2,NULL,NULL,1,Chicago,IL
Midwest Technical Institute-Ridgeland,NULL,NULL,428,3,NULL,NULL,1,Ridgeland,MS
Christine Valmy International School of Esthetics & Cosmetology,NULL,NULL,135,3,NULL,NULL,1,Pine Brook,NJ
City College-Hollywood,NULL,NULL,126,2,24582,NULL,2,Hollywood,FL
Paul Mitchell the School-Arlington,NULL,NULL,237,3,NULL,NULL,1,Arlington,TX
Rocky Mountain University of Health Professions,NULL,NULL,NULL,3,NULL,NULL,4,Provo,UT
MediaTech Institute-Oceanside,NULL,NULL,51,3,NULL,NULL,1,Oceanside,CA
Christie's Education,NULL,NULL,NULL,3,NULL,NULL,4,New York,NY
Prince Institute-Great Lakes,NULL,NULL,57,3,20322,NULL,0,Schaumburg,IL
Palmetto Beauty School,NULL,NULL,65,3,NULL,NULL,1,Spartanburg,SC
Paul Mitchell the School-Fort Myers,NULL,NULL,110,3,NULL,NULL,1,Fort Myers,FL
Paul Mitchell The School-Raleigh,NULL,NULL,147,3,NULL,NULL,1,Raleigh,NC
Stella and Charles Guttman Community College,NULL,NULL,493,1,10818,NULL,0,New York,NY
Lil Lou's Barber College,NULL,NULL,62,3,NULL,NULL,1,Gary,IN
Bryan University,NULL,NULL,111,3,22839,NULL,2,Columbia,MO
Virginia College-Tulsa,NULL,NULL,121,3,19685,NULL,1,Tulsa,OK
Criswell College,NULL,NULL,225,2,23168,0.1875,3,Dallas,TX
Virginia College-Knoxville,NULL,NULL,602,3,16331,NULL,1,Knoxville,TN
Columbia Academy of Cosmetology,NULL,NULL,37,3,NULL,NULL,1,West Columbia,SC
Academy of Couture Art,NULL,0.7241,21,3,38389,0.7143,3,Beverly Hills,CA
Global Institute,NULL,NULL,24,3,9332,NULL,1,Caguas,PR
Shear Learning Academy of Cosmetology,NULL,NULL,21,3,NULL,NULL,1,Decatur,IL
University of Cosmetology Arts & Sciences-La Joya,NULL,NULL,103,3,NULL,NULL,1,La Joya,TX
Preferred College of Nursing-Van Nuys,NULL,NULL,18,3,NULL,NULL,1,Van Nuys,CA
Bryant & Stratton College-Akron,NULL,NULL,313,3,21865,NULL,2,Copley,OH
Annenberg School of Nursing,NULL,0.9333,12,2,NULL,NULL,0,Reseda,CA
American Medical Academy,NULL,NULL,343,3,NULL,NULL,1,Miami,FL
Chamberlain College of Nursing-Georgia,NULL,0.3333,610,3,28916,NULL,0,Atlanta,GA
Chamberlain College of Nursing-Indiana,NULL,0.3333,159,3,28814,NULL,0,Indianapolis,IN
Carrington College-Mesquite,NULL,1,308,3,NULL,NULL,1,Mesquite,TX
Sessions College for Professional Design,NULL,0.9565,70,3,NULL,NULL,2,Tempe,AZ
Virginia College-Shreveport Bossier City,NULL,NULL,264,3,22975,NULL,0,Bossier City,LA
Strayer University-Wisconsin,NULL,NULL,128,3,NULL,NULL,3,Milwaukee,WI
Strayer University-Indiana,NULL,NULL,96,3,NULL,NULL,3,Indianapolis,IN
Tulsa Welding School-Jacksonville,NULL,NULL,176,3,19457,NULL,1,Jacksonville,FL
Regency Beauty Institute-Hoover,NULL,NULL,53,3,NULL,NULL,1,Hoover,AL
Regency Beauty Institute-San Antonio,NULL,NULL,29,3,NULL,NULL,1,San Antonio,TX
Regency Beauty Institute-Carrollwood,NULL,NULL,17,3,NULL,NULL,1,Tampa,FL
Regency Beauty Institute-Clearwater,NULL,NULL,12,3,NULL,NULL,1,Clearwater,FL
Regency Beauty Institute-Newport News,NULL,NULL,138,3,NULL,NULL,1,Newport News,VA
Regency Beauty Institute-Lewisville,NULL,NULL,29,3,NULL,NULL,1,Lewisville,TX
Regency Beauty Institute-Dallas,NULL,NULL,23,3,NULL,NULL,1,Dallas,TX
Regency Beauty Institute-Plano,NULL,NULL,46,3,NULL,NULL,1,Plano,TX
Empire Beauty School-Virginia Beach,NULL,NULL,181,3,NULL,NULL,1,Virginia Beach,VA
Sanford-Brown College-Columbus,NULL,NULL,31,3,NULL,NULL,1,Columbus,OH
Ross Medical Education Center-Morgantown,NULL,NULL,84,3,NULL,NULL,1,Morgantown,WV
Paul Mitchell the School-Ogden,NULL,NULL,107,3,NULL,NULL,1,Ogden,UT
CollegeAmerica-Colorado Springs South,NULL,NULL,31,2,34422,NULL,0,Colorado Springs,CO
Everest Institute-Bensalem,NULL,NULL,514,3,NULL,NULL,1,Bensalem,PA
Golf Academy of America-Farmers Branch,NULL,NULL,134,3,NULL,NULL,2,Farmers Branch,TX
Utah College of Massage Therapy-Dallas,NULL,NULL,310,3,NULL,NULL,1,Richardson,TX
Miami Ad School-New York,NULL,NULL,97,3,NULL,NULL,1,Brooklyn,NY
Lacy Cosmetology School-West Ashley,NULL,NULL,9,3,NULL,NULL,1,Charleston,SC
Dade Medical College-West Palm Beach,NULL,NULL,259,3,NULL,NULL,0,West Palm Beach,FL
Dade Medical College-Jacksonville,NULL,NULL,191,3,NULL,NULL,0,Jacksonville,FL
WestMed College,NULL,NULL,356,2,NULL,NULL,1,San Jose,CA
Larry's Barber College,NULL,NULL,16,3,NULL,NULL,1,Chicago,IL
Futura Career Institute,NULL,NULL,100,3,18000,NULL,1,Hialeah,FL
Access Careers,NULL,NULL,301,3,NULL,NULL,1,Brooklyn,NY
Flair Beauty College,NULL,NULL,60,3,NULL,NULL,1,Canyon Country,CA
Eternity Cosmetology School,NULL,NULL,205,3,NULL,NULL,1,West Palm Beach,FL
Tri-State Institute of Hair Design,NULL,NULL,39,3,NULL,NULL,1,London,KY
Vogue College of Cosmetology-San Antonio Fredericksburg,NULL,NULL,118,3,NULL,NULL,1,San Antonio,TX
Vogue College of Cosmetology,NULL,NULL,137,3,NULL,NULL,1,San Antonio,TX
Tomorrow's Image Barber Academy of Virginia,NULL,NULL,18,3,NULL,NULL,1,Newport News,VA
Excel Learning Center,NULL,NULL,80,3,NULL,NULL,1,El Paso,TX
College of International Esthetics Inc,NULL,NULL,75,3,NULL,NULL,1,Arvada,CO
Medical Allied Career Center,NULL,NULL,65,3,NULL,NULL,1,Santa Fe Springs,CA
Bais HaMedrash and Mesivta of Baltimore,NULL,1,49,2,20200,0.7778,3,Baltimore,MD
Long Island Barber Institute,NULL,NULL,75,3,NULL,NULL,1,Hempstead,NY
Toni & Guy Hairdressing Academy-Toledo,NULL,NULL,116,3,NULL,NULL,1,Toledo,OH
American Institute of Medical Sonography,NULL,NULL,21,3,NULL,NULL,1,Las Vegas,NV
Curve Metric School of Hair Design,NULL,NULL,65,3,NULL,NULL,1,Elmwood Park,IL
Athena Career Academy,NULL,NULL,188,3,NULL,NULL,1,Toledo,OH
Yeshiva Gedolah Zichron Leyma,NULL,1,23,2,17400,0.6,3,Linden,NJ
The Barber School,NULL,NULL,101,3,NULL,NULL,1,Midvale,UT
Be'er Yaakov Talmudic Seminary,NULL,1,298,2,17099,0.7143,3,Spring Valley,NY
RGV Careers,NULL,NULL,223,3,NULL,NULL,1,Pharr,TX
Alexander Academy,NULL,NULL,29,3,NULL,NULL,1,Fitchburg,MA
LeMelange Academy of Hair,NULL,NULL,48,3,NULL,NULL,1,Napa,CA
Aveda Institute-Tucson,NULL,NULL,118,3,NULL,NULL,1,Tucson,AZ
Velvet Touch Academy of Cosmetology,NULL,NULL,61,3,NULL,NULL,1,Nampa,ID
Ambiance Beauty & Barber Academy Inc,NULL,NULL,24,3,NULL,NULL,1,Melbourne,FL
Diamond Beauty College,NULL,NULL,122,3,NULL,NULL,1,El Monte,CA
NCP College of Nursing-South San Francisco,NULL,NULL,73,3,NULL,NULL,1,South San Francisco,CA
University Academy of Hair Design,NULL,NULL,65,3,NULL,NULL,1,Northport,AL
Florida Institute of Recording Sound and Technology,NULL,NULL,152,3,NULL,NULL,1,Orlando,FL
New Dimensions Beauty Academy Inc,NULL,NULL,46,3,NULL,NULL,1,Parker,CO
Jolei's Hair Institute,NULL,NULL,41,3,NULL,NULL,1,Olanta,SC
Paul Mitchell the School-Reno,NULL,NULL,211,3,NULL,NULL,1,Reno,NV
Boise Barber College,NULL,NULL,91,3,NULL,NULL,1,Boise,ID
Austin Kade Academy,NULL,NULL,193,3,NULL,NULL,1,Idaho Falls,ID
Aesthetic Science Institute,NULL,NULL,79,3,NULL,NULL,1,Latham,NY
Elaine Sterling Institute,NULL,NULL,133,3,NULL,NULL,1,Sandy Springs,GA
Wade Gordon Hairdressing Academy,NULL,NULL,99,3,NULL,NULL,1,Amarillo,TX
Mitsu Sato Hair Academy,NULL,NULL,36,3,NULL,NULL,1,Overland Park,KS
SAE Institute of Technology-Los Angeles,NULL,NULL,225,3,NULL,NULL,1,Los Angeles,CA
Florida Vocational Institute,NULL,NULL,87,3,NULL,NULL,1,Miami,FL
SAE Institute of Technology-Atlanta,NULL,NULL,218,3,NULL,NULL,1,Atlanta,GA
Academy di Firenze,NULL,NULL,20,3,NULL,NULL,1,Jerome,ID
SAE Institute of Technology-Miami,NULL,NULL,233,3,NULL,NULL,1,North Miami Beach,FL
Colorado State University-Global Campus,NULL,NULL,5282,1,NULL,NULL,3,Greenwood Village,CO
Paul Mitchell the School-Overland Park,NULL,NULL,157,3,NULL,NULL,1,Overland Park,KS
Medspa Academies,NULL,NULL,130,3,NULL,NULL,1,South Jordan,UT
Brighton Institute of Cosmetology,NULL,NULL,55,3,NULL,NULL,1,Brighton,MI
Strayer University-Minnesota,NULL,NULL,110,3,32554,NULL,3,St. Louis Park,MN
Strayer University-Illinois,NULL,NULL,160,3,32554,NULL,0,Chicago,IL
West Coast University-Dallas,NULL,0.5,320,3,40829,NULL,0,Dallas,TX
Stevens-Henager College-St George,NULL,NULL,168,2,27446,NULL,2,St. George,UT
National American University-Bellevue,NULL,NULL,217,3,24420,NULL,0,Bellevue,NE
National American University-Burnsville,NULL,NULL,161,3,24420,NULL,2,Burnsville,MN
National American University-Mesquite,NULL,NULL,189,3,NULL,NULL,3,Mesquite,TX
Empire Beauty School-Savannah,NULL,NULL,164,3,NULL,NULL,1,Savannah,GA
Ogle School Hair Skin Nails-Denton,NULL,NULL,151,3,NULL,NULL,1,Denton,TX
Empire Beauty School-West Greensboro,NULL,NULL,111,3,NULL,NULL,1,Greensboro,NC
California College San Diego,NULL,NULL,203,2,27068,NULL,2,National City,CA
California College San Diego,NULL,NULL,269,2,28222,NULL,2,San Marcos,CA
Old Town Barber College-Topeka,NULL,NULL,28,3,NULL,NULL,1,Topeka,KS
Jolie Hair and Beauty Academy-Northfield,NULL,NULL,214,3,NULL,NULL,1,Northfield,NJ
Hays Academy of Hair Design,NULL,NULL,63,3,NULL,NULL,1,Salina,KS
Bellus Academy,NULL,NULL,216,3,NULL,NULL,1,Manhattan,KS
Cortiva Institute-Seattle,NULL,NULL,102,3,NULL,NULL,1,Federal Way,WA
MotoRing Technical Training Institute,NULL,1,10,3,NULL,NULL,1,East Providence,RI
Leon Studio One School of Hair Design & Career Training Center,NULL,NULL,19,3,NULL,NULL,1,North Tonawanda,NY
Columbia College,NULL,NULL,147,3,NULL,NULL,1,Centreville,VA
NCP College of Nursing-Hayward,NULL,NULL,88,3,NULL,NULL,1,Hayward,CA
ITT Technical Institute-Philadelphia,NULL,0.877,559,3,27037,NULL,0,Philadelphia,PA
ITT Technical Institute-Marlton,NULL,0.9251,312,3,26437,NULL,0,Marlton,NJ
ITT Technical Institute-Germantown,NULL,0.8889,50,3,27753,NULL,0,Greenfield,WI
ITT Technical Institute-Grand Rapids,NULL,0.92,51,3,27895,NULL,0,Wyoming,MI
ITT Technical Institute-Southfield,NULL,0.8921,143,3,27753,NULL,0,Southfield,MI
ITT Technical Institute-West Palm Beach,NULL,0.6902,274,3,26832,NULL,2,West Palm Beach,FL
ITT Technical Institute-Salem,NULL,0.9633,191,3,27362,NULL,0,Salem,OR
ITT Technical Institute-Indianapolis East,NULL,0.9245,337,3,28122,NULL,2,Indianapolis,IN
ITT Technical Institute-Douglasville,NULL,0.7439,155,3,26743,NULL,0,Douglasville,GA
ITT Technical Institute-Overland Park,NULL,0.7857,171,3,26437,NULL,0,Overland Park,KS
ITT Technical Institute-Springfield,NULL,0.9918,202,3,27039,NULL,0,Springfield,IL
ITT Technical Institute-West Chester,NULL,0.6731,61,3,26880,NULL,0,Norwood,OH
University of Phoenix-McAllen Campus,NULL,NULL,128,3,22065,NULL,0,Mission,TX
Pennsylvania State University-World Campus,968,0.7138,4881,1,25441,NULL,3,University Park,PA
Medical Career Institute,NULL,NULL,77,3,NULL,NULL,1,Ocean,NJ
Advance Beauty Techs Academy,NULL,NULL,61,3,NULL,NULL,1,San Jacinto,CA
Longs Peak Academy,NULL,NULL,49,3,NULL,NULL,1,Longmont,CO
Brand College,NULL,0.8125,14,3,NULL,NULL,1,Glendale,CA
Hinton Barber College,NULL,NULL,56,3,NULL,NULL,1,Vallejo,CA
Advanced Career Institute,NULL,NULL,241,3,NULL,NULL,1,Visalia,CA
Digital Film Academy,NULL,NULL,38,3,NULL,NULL,1,New York,NY
MyComputerCareer.com-Raleigh,NULL,NULL,496,3,NULL,NULL,1,Raleigh,NC
South University-Austin,NULL,0.5,141,3,29061,NULL,3,Austin,TX
South University-Cleveland,NULL,0.38,238,3,29650,NULL,2,Cleveland,OH
Bryant & Stratton College-Online,NULL,NULL,2132,3,17894,0.186,2,Orchard Park,NY
Virginia College-Florence,NULL,NULL,458,3,21752,NULL,0,Florence,SC
Ogle School Hair Skin Nails-San Antonio,NULL,NULL,170,3,NULL,NULL,1,San Antonio,TX
Elizabethtown College School of Continuing and Professional Studies,NULL,NULL,365,2,NULL,NULL,3,Elizabethtown,PA
Fortis College-Cutler Bay,NULL,NULL,203,3,NULL,NULL,0,Cutler Bay,FL
Anamarc College-El Paso East,NULL,NULL,269,3,NULL,NULL,1,El Paso,TX
Ideal Beauty Academy,NULL,NULL,9,3,NULL,NULL,1,Louisville,KY
Minnesota School of Cosmetology-Plymouth Campus,NULL,NULL,86,3,NULL,NULL,1,Plymouth,MN
Mercyhurst University-North East Campus,NULL,NULL,1032,2,23276,NULL,2,North East,PA
Warner Pacific College Adult Degree Program,NULL,NULL,856,2,34187,NULL,3,Portland,OR
Platt College-Riverside,NULL,NULL,334,3,33931,NULL,2,Riverside,CA
Savannah Law School,NULL,NULL,NULL,3,NULL,NULL,0,Savannah,GA
Empire Beauty School-Glen Burnie,NULL,NULL,194,3,NULL,NULL,1,Glen Burnie,MD
Everest College-Woodbridge,NULL,NULL,570,3,NULL,NULL,1,Woodbridge,VA
International School of Cosmetology-Toni & Guy Hairdressing Academy,NULL,NULL,70,3,NULL,NULL,1,Scottsdale,AZ
InterCoast Career Institute-Salem,NULL,NULL,34,3,NULL,NULL,1,Salem,NH
National College-Canton,NULL,NULL,89,3,23997,NULL,0,Canton,OH
Vatterott College-Fairview Heights,NULL,NULL,493,3,21456,NULL,1,Fairview Heights,IL
Ross Medical Education Center-Dayton,NULL,NULL,94,3,NULL,NULL,1,Dayton,OH
Ross Medical Education Center-Ontario,NULL,NULL,136,3,NULL,NULL,1,Ontario,OH
Ross Medical Education Center-Bowling Green,NULL,NULL,128,3,NULL,NULL,1,Bowling Green,KY
Florida Institute of Technology-Online,NULL,NULL,2304,2,NULL,NULL,3,Melbourne,FL
Rasmussen College-Kansas,NULL,0.7195,135,3,NULL,NULL,0,Topeka,KS
Columbia Institute,NULL,NULL,45,3,NULL,NULL,1,Silver Spring,MD
School of Missionary Aviation Technology,NULL,NULL,66,2,NULL,NULL,1,Ionia,MI
Ace Cosmetology and Barber Training Center,NULL,NULL,16,3,NULL,NULL,1,Wolcott,CT
Manthano Christian College,NULL,NULL,28,2,NULL,NULL,2,Westland,MI
California Miramar University,NULL,NULL,66,3,21442,NULL,3,San Diego,CA
Rocky Vista University,NULL,NULL,NULL,3,NULL,NULL,4,Parker,CO
Virginia College-Greensboro,NULL,NULL,468,3,20622,NULL,0,Greensboro,NC
The College of Health Care Professions-Dallas,NULL,NULL,134,3,NULL,NULL,0,Dallas,TX
The College of Health Care Professions-Fort Worth,NULL,NULL,208,3,NULL,NULL,0,Fort Worth,TX
Shear Finesse Hairstyling Academy,NULL,NULL,23,3,NULL,NULL,1,Jacksonville,FL
Academy of Salon Professionals,NULL,NULL,26,3,NULL,NULL,1,Sedalia,MO
CyberTex Institute of Technology,NULL,NULL,217,3,NULL,NULL,1,Austin,TX
UEI College-Santa Cruz,NULL,NULL,131,3,NULL,NULL,1,Santa Cruz,CA
New England Tractor Trailer Training School of CT-Bridgeport,NULL,NULL,259,3,NULL,NULL,1,Bridgeport,CT
Gemini School of Visual Arts & Communication,NULL,1,10,3,NULL,NULL,1,Cedar Park,TX
Paul Mitchell the School-Woodbridge,NULL,NULL,121,3,NULL,NULL,1,Woodbridge,VA
College of the Muscogee Nation,NULL,NULL,182,1,NULL,NULL,2,Okmulgee,OK
The Salon Professional Academy-Huntsville,NULL,NULL,48,3,NULL,NULL,1,Huntsville,AL
Midwives College of Utah,NULL,NULL,151,2,NULL,NULL,3,Salt Lake City,UT
Aspen Beauty Academy of Laurel,NULL,NULL,59,3,NULL,NULL,1,Laurel,MD
M T Training Center,NULL,NULL,62,3,NULL,NULL,1,Grand Prairie,TX
Berks Career & Technology Center,NULL,NULL,59,1,NULL,NULL,1,Leesport,PA
Future Generations Graduate School,NULL,NULL,NULL,2,NULL,NULL,4,Franklin,WV
Carthage R9 School District-Carthage Technical Center,NULL,0.7143,11,1,NULL,NULL,1,Carthage,MO
Grace Mission University,NULL,NULL,109,2,16458,1,3,Fullerton,CA
World A Cuts Barber Institute,NULL,NULL,31,3,NULL,NULL,1,York,PA
PCCTI IT and Healthcare,NULL,NULL,233,3,NULL,NULL,1,Oak Brook,IL
Sotheby's Institute of Art-NY,NULL,NULL,NULL,3,NULL,NULL,4,New York,NY
Top Nails & Hair Beauty School,NULL,NULL,40,3,NULL,NULL,1,Taylorsville,UT
Radians College,NULL,NULL,180,3,NULL,NULL,2,Washington,DC
Santa Ana Beauty College,NULL,NULL,114,3,NULL,NULL,1,Santa Ana,CA
Shepherds College,NULL,0.7059,59,2,NULL,NULL,1,Union Grove,WI
Woodruff Medical Training and Testing,NULL,NULL,100,3,NULL,NULL,1,Decatur,GA
Helms College,NULL,NULL,127,2,NULL,NULL,1,Macon,GA
American Academy of Personal Training,NULL,NULL,106,3,NULL,NULL,1,New York,NY
Technology Center,NULL,NULL,35,3,NULL,NULL,0,Norcross,GA
Ukiah Adult School,NULL,0.6102,59,1,NULL,NULL,0,Ukiah,CA
Riverside County Office of Education,NULL,NULL,386,1,NULL,NULL,1,Riverside,CA
Institute of Health Sciences,NULL,NULL,55,3,NULL,NULL,1,Hunt Valley,MD
Mid-South Christian College,NULL,NULL,27,2,14795,0.25,3,Memphis,TN
