INSTNM,SAT_AVG,ADM_RATE,UGDS,CONTROL,COSTT4_A,C150_4,PREDDEG,CITY,STABBR
Everest College-Hayward,NULL,NULL,170,3,NULL,NULL,1,Hayward,CA
Antelope Valley College,NULL,NULL,12416,1,11430,NULL,2,Lancaster,CA
Art Center College of Design,NULL,0.8167,1742,2,56400,0.6436,3,Pasadena,CA
Associated Technical College-Los Angeles,NULL,NULL,404,3,NULL,NULL,1,Los Angeles,CA
Associated Technical College-San Diego,NULL,NULL,110,3,NULL,NULL,1,San Diego,CA
Azusa Pacific University,1098,0.7985,6543,2,44021,0.6486,3,Azusa,CA
Bakersfield College,NULL,NULL,15854,1,8732,NULL,1,Bakersfield,CA
Barstow Community College,NULL,NULL,2866,1,14930,NULL,2,Barstow,CA
Bellus Academy-National City,NULL,NULL,185,3,NULL,NULL,1,National City,CA
Bethesda University of California,NULL,0.8321,259,2,11741,0.7826,3,Anaheim,CA
Biola University,1123,0.7286,4324,2,44573,0.6819,3,La Mirada,CA
Brooks Institute,NULL,0.98,492,3,32699,0.3654,3,Santa Barbara,CA
Brownson Technical School,NULL,NULL,45,3,NULL,NULL,1,Anaheim,CA
Bryan University,NULL,NULL,879,3,24818,0.0638,2,Los Angeles,CA
Butte College,NULL,NULL,11123,1,11493,NULL,1,Oroville,CA
Phillips Graduate Institute,NULL,NULL,NULL,2,NULL,NULL,4,Chatsworth,CA
California Institute of Integral Studies,NULL,NULL,75,2,NULL,NULL,3,San Francisco,CA
Cabrillo College,NULL,NULL,12724,1,12665,NULL,2,Aptos,CA
California Baptist University,984,0.788,5797,2,39026,0.5808,3,Riverside,CA
California College of the Arts,NULL,0.8157,1463,2,53837,0.6183,3,San Francisco,CA
University of California-Hastings College of Law,NULL,NULL,NULL,1,NULL,NULL,4,San Francisco,CA
California Institute of Technology,1534,0.1055,977,2,56382,0.9307,3,Pasadena,CA
California Lutheran University,1108,0.4802,2882,2,48630,0.7005,3,Thousand Oaks,CA
California Polytechnic State University-San Luis Obispo,1242,0.3123,18664,1,23867,0.6972,3,San Luis Obispo,CA
Alliant International University,NULL,0.4922,254,2,28901,NULL,3,San Diego,CA
California State University-Bakersfield,901,0.6626,7226,1,18061,0.3946,3,Bakersfield,CA
California State University-Stanislaus,917,0.7215,7751,1,17161,0.5198,3,Turlock,CA
California State University-San Bernardino,888,0.5831,15887,1,17030,0.4112,3,San Bernardino,CA
California State Polytechnic University-Pomona,1070,0.5218,20857,1,19402,0.5237,3,Pomona,CA
California State University-Chico,1014,0.7161,15106,1,22926,0.5605,3,Chico,CA
California State University-Dominguez Hills,845,0.5747,11894,1,12957,0.2935,3,Carson,CA
California State University-Fresno,920,0.5815,19911,1,16377,0.4859,3,Fresno,CA
California State University-Fullerton,1021,0.4579,33000,1,16663,0.5347,3,Fullerton,CA
California State University-East Bay,910,0.6872,12079,1,20676,0.3808,3,Hayward,CA
California State University-Long Beach,1012,0.3082,30440,1,18085,0.6033,3,Long Beach,CA
California State University-Los Angeles,871,0.6752,19525,1,14747,0.3565,3,Los Angeles,CA
California State University-Northridge,918,0.4624,33581,1,20899,0.4575,3,Northridge,CA
California State University-Sacramento,945,0.6968,25991,1,19380,0.4285,3,Sacramento,CA
University of California-Berkeley,1350,0.18,25951,1,32715,0.9103,3,Berkeley,CA
University of California-Davis,1192,0.4521,26483,1,31803,0.8133,3,Davis,CA
University of California-Irvine,1122,0.4239,23517,1,28980,0.8585,3,Irvine,CA
University of California-Los Angeles,1289,0.2199,28667,1,31474,0.9031,3,Los Angeles,CA
University of California-Riverside,1078,0.62,18612,1,29787,0.6617,3,Riverside,CA
University of California-San Diego,1276,0.375,23792,1,29751,0.858,3,La Jolla,CA
University of California-San Francisco,NULL,NULL,NULL,1,NULL,NULL,4,San Francisco,CA
University of California-Santa Barbara,1212,0.4444,19362,1,31913,0.807,3,Santa Barbara,CA
University of California-Santa Cruz,1087,0.5991,15695,1,33208,0.7267,3,Santa Cruz,CA
Sofia University,NULL,NULL,20,2,NULL,NULL,4,Palo Alto,CA
California Beauty School,NULL,NULL,114,3,NULL,NULL,1,Modesto,CA
California Christian College,NULL,0.8333,30,2,17109,0.25,3,Fresno,CA
California College San Diego,NULL,NULL,762,2,27138,0.5845,2,San Diego,CA
Le Cordon Bleu College of Culinary Arts-San Francisco,NULL,NULL,489,3,23262,NULL,1,San Francisco,CA
California Hair Design Academy,NULL,NULL,219,3,NULL,NULL,1,La Mesa,CA
California Institute of the Arts,NULL,0.2992,987,2,56435,0.5746,3,Valencia,CA
California Maritime Academy,1080,0.748,1044,1,22223,0.5871,3,Vallejo,CA
California Western School of Law,NULL,NULL,NULL,2,NULL,NULL,4,San Diego,CA
Canada College,NULL,NULL,5217,1,9010,NULL,2,Redwood City,CA
College of the Canyons,NULL,NULL,16784,1,11251,NULL,2,Santa Clarita,CA
Career Academy of Beauty,NULL,NULL,167,3,NULL,NULL,1,Garden Grove,CA
Casa Loma College-Van Nuys,NULL,1,606,2,NULL,NULL,1,Van Nuys,CA
CET-San Diego,NULL,NULL,267,2,NULL,NULL,1,San Diego,CA
CET-Sobrato,NULL,NULL,345,2,NULL,NULL,1,San Jose,CA
CET-El Centro,NULL,NULL,234,2,NULL,NULL,1,El Centro,CA
CET-San Bernardino,NULL,NULL,103,2,NULL,NULL,1,San Bernardino,CA
CET-Watsonville,NULL,NULL,88,2,NULL,NULL,1,Watsonville,CA
CET-Gilroy,NULL,NULL,104,2,NULL,NULL,1,Gilroy,CA
CET-Salinas,NULL,NULL,65,2,NULL,NULL,1,Salinas,CA
Cerritos College,NULL,NULL,20011,1,9066,NULL,2,Norwalk,CA
Cerro Coso Community College,NULL,NULL,4029,1,11064,NULL,2,Ridgecrest,CA
Chabot College,NULL,NULL,12082,1,11350,NULL,2,Hayward,CA
Chaffey College,NULL,NULL,17217,1,14156,NULL,2,Rancho Cucamonga,CA
Chapman University,1208,0.4471,5940,2,57020,0.761,3,Orange,CA
